HS2,HS_Desc,Industry_Group
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",Máy móc - Điện tử
86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",Phương tiện vận tải
87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",Phương tiện vận tải
88,"Aircraft, spacecraft, and parts thereof",Phương tiện vận tải
89,"Ships, boats and floating structures",Phương tiện vận tải
90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",Dụng cụ & Thiết bị chuyên dụng
91,Clocks and watches and parts thereof,Dụng cụ & Thiết bị chuyên dụng
92,Musical instruments; parts and accessories of such articles,Dụng cụ & Thiết bị chuyên dụng
93,Arms and ammunition; parts and accessories thereof,Khác
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",Gỗ - Giấy - Nội thất
95,"Toys, games and sports requisites; parts and accessories thereof",Hàng tiêu dùng
96,Miscellaneous manufactured articles,Hàng tiêu dùng
97,Works of art; collectors' pieces and antiques,Khác
99,Commodities not specified according to kind,Khác
